id,first_name,joined_time,left_time,status
1,sanjay,2:53 PM,1:14 PM,absent
2,hari,9:59 AM,6:42 PM,present
3,naveender,11:38 PM,7:26 AM,present
4,kishore,2:45 PM,5:02 PM,present
5,sanjay,12:36 PM,10:30 PM,present
6,hari,9:42 AM,7:30 PM,absent
7,naveender,3:59 AM,9:47 PM,present
8,kishore,4:24 PM,10:07 AM,absent
9,sanjay,1:33 PM,12:18 AM,absent
10,hari,7:27 PM,7:43 PM,absent
11,naveender,2:29 AM,2:21 PM,present
12,kishore,9:03 AM,2:38 PM,present
13,sanjay,12:58 AM,12:05 PM,present
14,hari,8:52 PM,4:01 AM,present
15,naveender,7:34 PM,9:09 AM,present
16,kishore,10:16 AM,3:08 AM,present
17,sanjay,5:36 PM,6:33 PM,present
18,hari,1:09 AM,6:53 PM,absent
19,naveender,9:18 AM,3:21 PM,absent
20,kishore,4:07 PM,6:47 PM,absent
21,sanjay,2:35 AM,4:56 PM,absent
22,hari,10:51 AM,6:42 PM,absent
23,naveender,3:24 AM,3:32 PM,absent
24,kishore,6:28 PM,2:38 AM,present
25,sanjay,10:53 AM,10:20 PM,absent
26,hari,8:40 AM,11:25 AM,present
27,naveender,5:39 AM,1:57 PM,absent
28,kishore,8:17 AM,10:44 AM,absent
29,sanjay,6:43 PM,10:07 PM,present
30,hari,5:26 AM,3:06 AM,present
31,naveender,5:55 AM,10:19 PM,present
32,kishore,2:29 PM,9:08 AM,present
33,sanjay,6:59 AM,6:19 AM,present
34,hari,8:16 AM,6:50 PM,absent
35,naveender,9:24 AM,6:36 AM,absent
36,kishore,5:46 AM,3:28 AM,present
37,sanjay,3:23 AM,5:56 AM,present
38,hari,12:31 AM,7:36 AM,absent
39,naveender,7:03 PM,11:37 PM,absent
40,kishore,6:30 AM,5:56 AM,present
41,sanjay,1:20 PM,9:48 PM,absent
42,hari,2:25 AM,4:15 PM,absent
43,naveender,5:09 AM,2:19 PM,absent
44,kishore,10:22 AM,6:37 AM,absent
45,sanjay,1:40 PM,7:51 AM,absent
46,hari,2:49 AM,8:38 AM,present
47,naveender,5:22 AM,5:05 AM,present
48,kishore,3:54 AM,11:19 AM,absent
49,sanjay,12:53 PM,7:49 AM,present
50,hari,11:27 PM,3:32 AM,present
51,naveender,6:16 PM,8:18 PM,absent
52,kishore,3:45 AM,12:19 AM,present
53,sanjay,3:02 PM,10:36 PM,absent
54,hari,11:07 PM,7:03 PM,absent
55,naveender,6:42 AM,5:06 PM,absent
56,kishore,9:27 PM,4:02 PM,absent
57,sanjay,8:23 PM,12:32 AM,present
58,hari,11:31 AM,10:23 AM,absent
59,naveender,12:41 PM,4:05 PM,present
60,kishore,7:57 AM,12:14 PM,absent
61,sanjay,4:29 AM,10:18 AM,absent
62,hari,5:52 PM,8:48 AM,absent
63,naveender,5:37 PM,5:59 PM,present
64,kishore,8:59 PM,6:42 AM,absent
65,sanjay,9:49 PM,10:37 PM,present
66,hari,6:43 PM,8:41 PM,absent
67,naveender,8:11 PM,9:21 PM,present
68,kishore,4:35 PM,10:34 AM,present
69,sanjay,5:15 AM,10:10 AM,absent
70,hari,5:54 PM,6:35 AM,absent
71,naveender,11:27 PM,11:05 AM,present
72,kishore,2:03 AM,10:27 AM,present
73,sanjay,1:57 AM,11:12 PM,present
74,hari,5:32 PM,7:12 PM,absent
75,naveender,1:55 PM,11:41 AM,present
76,kishore,12:06 PM,9:11 PM,absent
77,sanjay,3:42 AM,8:56 PM,absent
78,hari,10:02 PM,10:31 AM,present
79,naveender,4:49 AM,3:56 AM,absent
80,kishore,1:05 AM,11:12 AM,absent
